cod_ibge6,municipio,competencia,mes_internacao,capitulo,subgrupo,faixa_etaria,internacoes,obitos,dias_permanencia,valor_total_rs
351500,Embu das Artes,2025-07,2025-04,respiratorio (J00-J99),pneumonia (J12-J18),65+,9,1,103,6269.51
351500,Embu das Artes,2025-07,2025-05,circulatorio (I00-I99),circulatorio (I00-I99),0-4,1,0,5,699.46
351500,Embu das Artes,2025-07,2025-05,circulatorio (I00-I99),circulatorio (I00-I99),5-64,12,1,59,35997.81
351500,Embu das Artes,2025-07,2025-05,circulatorio (I00-I99),circulatorio (I00-I99),65+,12,1,104,19269.2
351500,Embu das Artes,2025-07,2025-05,respiratorio (J00-J99),DPOC e asma (J40-J47),5-64,4,0,20,1997.0
351500,Embu das Artes,2025-07,2025-05,respiratorio (J00-J99),DPOC e asma (J40-J47),65+,3,0,19,1577.99
351500,Embu das Artes,2025-07,2025-05,respiratorio (J00-J99),outras respiratorias,0-4,2,1,52,3729.94
351500,Embu das Artes,2025-07,2025-05,respiratorio (J00-J99),outras respiratorias,5-64,4,0,12,1055.46
351500,Embu das Artes,2025-07,2025-05,respiratorio (J00-J99),pneumonia (J12-J18),0-4,1,0,3,582.42
351500,Embu das Artes,2025-07,2025-05,respiratorio (J00-J99),pneumonia (J12-J18),5-64,8,0,37,4699.48
351500,Embu das Artes,2025-07,2025-05,respiratorio (J00-J99),pneumonia (J12-J18),65+,21,2,149,12973.04
351500,Embu das Artes,2025-07,2025-06,circulatorio (I00-I99),circulatorio (I00-I99),5-64,22,2,175,145407.34
351500,Embu das Artes,2025-07,2025-06,circulatorio (I00-I99),circulatorio (I00-I99),65+,15,3,135,104545.38
351500,Embu das Artes,2025-07,2025-06,respiratorio (J00-J99),outras respiratorias,0-4,6,0,20,2789.05
351500,Embu das Artes,2025-07,2025-06,respiratorio (J00-J99),outras respiratorias,5-64,4,0,70,9764.46
351500,Embu das Artes,2025-07,2025-06,respiratorio (J00-J99),outras respiratorias,65+,2,1,34,11495.03
351500,Embu das Artes,2025-07,2025-06,respiratorio (J00-J99),pneumonia (J12-J18),0-4,4,0,13,2426.37
351500,Embu das Artes,2025-07,2025-06,respiratorio (J00-J99),pneumonia (J12-J18),5-64,9,3,63,11361.11
351500,Embu das Artes,2025-07,2025-06,respiratorio (J00-J99),pneumonia (J12-J18),65+,7,2,85,6952.08
351500,Embu das Artes,2025-07,2025-07,circulatorio (I00-I99),circulatorio (I00-I99),5-64,64,2,136,164959.66
351500,Embu das Artes,2025-07,2025-07,circulatorio (I00-I99),circulatorio (I00-I99),65+,36,5,156,180585.3
351500,Embu das Artes,2025-07,2025-07,respiratorio (J00-J99),DPOC e asma (J40-J47),0-4,2,0,3,1160.35
351500,Embu das Artes,2025-07,2025-07,respiratorio (J00-J99),DPOC e asma (J40-J47),5-64,5,0,18,7754.57
351500,Embu das Artes,2025-07,2025-07,respiratorio (J00-J99),DPOC e asma (J40-J47),65+,2,0,10,1558.01
